apparent_wind_speed,alpha_deg,main_CL,main_CD,main_L,main_D,main_S,main_AR,back_CL,back_CD,back_L,back_D,back_S,back_AR
5.5,-13.0,-0.922464194247983,0.11117909479282038,-5.776937781879209,1.0532637130994376,0.338,5.0,-0.8837183009116555,0.06832666680227852,-0.951849000988142,0.09363837498190052,0.05813300025000001,5.0
5.5,-12.0,-0.8525903152770479,0.10328310332342094,-5.339352178111984,1.003815017172377,0.338,5.0,-0.8184669330139749,0.06125573640638744,-0.8815670465661909,0.08602230770521022,0.05813300025000001,5.0
5.5,-11.0,-0.7824567290368509,0.09598287534777067,-4.900140155947836,0.9580972938484423,0.338,5.0,-0.7525589477535464,0.05466397471028962,-0.8105778525407166,0.07892235087653542,0.05813300025000001,5.0
5.5,-10.0,-0.7120847988971613,0.08928730506914409,-4.4594355036234665,0.916166243131229,0.338,5.0,-0.6860500605994831,0.048572778635837394,-0.7389414297925168,0.0723615510240156,0.05813300025000001,5.0
5.5,-9.0,-0.641495960829607,0.08320455000855208,-4.01737246404517,0.8780729515470524,0.338,5.0,-0.6189956889088508,0.04300178122082765,-0.6667174681072461,0.06636105480422005,0.05813300025000001,5.0
5.5,-8.0,-0.570711716878073,0.07774202106605942,-3.5740856938971635,0.8438638299038863,0.338,5.0,-0.5514510248092671,0.03796882890384184,-0.5939654146769351,0.060940084535751185,0.05813300025000001,5.0
5.5,-7.0,-0.4997536286089699,0.07290637349174448,-3.1297102226238533,0.8135805567469416,0.338,5.0,-0.4834710069413587,0.03348995299802328,-0.5207444436639185,0.05611590747377876,0.05813300025000001,5.0
5.5,-6.0,-0.42864331054337007,0.0687034987773021,-2.6843814112985465,0.7872600275797793,0.338,5.0,-0.4151103834860003,0.029579351538931764,-0.4471135240871898,0.051903816258445715,0.05813300025000001,5.0
5.5,-5.0,-0.35740242357301777,0.06513851747816865,-2.2382349113911717,0.764934309912823,0.338,5.0,-0.3464237207826343,0.026249369461386483,-0.37313142910515507,0.04831710756343504,0.05813300025000001,5.0
5.5,-4.0,-0.2860526683622101,0.06221577297491385,-1.7914066234475183,0.7466306041940366,0.338,5.0,-0.27746542523597945,0.02351048273332252,-0.29885675961125013,0.04536706500661807,0.05813300025000001,5.0
5.5,-3.0,-0.21461577873756496,0.05993882618150063,-1.3440326556926179,0.7323712106693688,0.338,5.0,-0.20828977292748366,0.021371285427980988,-0.22434797612830265,0.04306294522556873,0.05813300025000001,5.0
5.5,-2.0,-0.14311351506768652,0.05831045120685999,-0.8962492825708562,0.7221735022133382,0.338,5.0,-0.13895093377991408,0.019838478971971465,-0.14966342483610354,0.04141196629669997,0.05813300025000001,5.0
5.5,-1.0,-0.07156765763474678,0.0573326319750666,-0.44819290323546196,0.7160499031628619,0.338,5.0,-0.06950299753030974,0.018916863923243245,-0.07486136554675721,0.04041929887935372,0.05813300025000001,5.0
5.5,0.0,0.0,0.057006559808232896,0.0,0.7140078741801148,0.338,5.0,0.0,0.0186093341319332,0.0,0.040088059926476335,0.05813300025000001,5.0
5.5,1.0,0.07156765763474678,0.0573326319750666,0.44819290323546196,0.7160499031628619,0.338,5.0,0.06950405045879461,0.018916873241095467,0.0748624996512851,0.04041930891557038,0.05813300025000001,5.0
5.5,2.0,0.14311351506768652,0.05831045120685999,0.8962492825708562,0.7221735022133382,0.338,5.0,0.13895514642177703,0.01983855350224426,0.14966796225367726,0.041412046572921066,0.05813300025000001,5.0
5.5,3.0,0.21461577873756496,0.05993882618150063,1.3440326556926179,0.7323712106693688,0.338,5.0,0.2082992548476644,0.02137153689685968,0.2243581890618157,0.043063216081565166,0.05813300025000001,5.0
5.5,4.0,0.2860526683622101,0.06221577297491385,1.7914066234475183,0.7466306041940366,0.338,5.0,0.2774822906217976,0.023511078571699345,0.2988749252423406,0.045367706781449656,0.05813300025000001,5.0
5.5,5.0,0.35740242357301777,0.06513851747816865,2.2382349113911717,0.764934309912823,0.338,5.0,0.3464500902826178,0.026250532612562594,0.3731598315747995,0.04831836038832713,0.05813300025000001,5.0
5.5,6.0,0.42864331054337007,0.0687034987773021,2.6843814112985465,0.7872600275797793,0.338,5.0,0.4151483860290413,0.029581360198112173,0.44715445645510754,0.051905979776200435,0.05813300025000001,5.0
5.5,7.0,0.4997536286089699,0.07290637349174448,3.1297102226238533,0.8135805567469416,0.338,5.0,0.48352278011222066,0.03349314019255038,0.5208002083130291,0.05611934038664641,0.05813300025000001,5.0
5.5,8.0,0.570711716878073,0.07774202106605942,3.5740856938971635,0.8438638299038863,0.338,5.0,0.5515187197224649,0.03797358225345453,0.5940383285629923,0.06094520434720639,0.05813300025000001,5.0
5.5,9.0,0.641495960829607,0.08320455000855208,4.01737246404517,0.8780729515470524,0.338,5.0,0.6190814724911646,0.04300854254896894,0.6668098652173233,0.06636833740030297,0.05813300025000001,5.0
5.5,10.0,0.7120847988971613,0.08928730506914409,4.4594355036234665,0.916166243131229,0.338,5.0,0.6861561027385814,0.04858204219689634,0.7390556473028469,0.07237152876390224,0.05813300025000001,5.0
