apparent_wind_speed,apparent_wind_angle_rad,apparent_wind_angle_deg,trim_speed,valid,trim_success,lqr_success,fail_reason,trim_solver_residual_norm,trim_inside_actuator_limits,finite_all,closed_loop_poles_stable,x_trim_u,x_trim_v,x_trim_r,u_trim_rudder,u_trim_backwing,u_trim_rudder_deg,u_trim_backwing_deg,f0_u_dot,f0_v_dot,f0_r_dot,A00,A01,A02,A10,A11,A12,A20,A21,A22,B00,B01,B10,B11,B20,B21,K00,K01,K02,K10,K11,K12,pole0_real,pole0_imag,pole1_real,pole1_imag,pole2_real,pole2_imag
10.0,-2.6179938779914944,-150.0,1.0,True,True,True,,1.266150489535704e-11,True,True,True,1.0,-0.11272093419124153,0.0,0.003121595740570262,-0.06158050097787109,0.17885426128069065,-3.5283028063332527,1.1179779324521633e-12,5.720757201288507e-13,6.448785949686453e-14,-0.05737577377697617,0.038693594647213614,-0.11272093419124155,0.03636885996173289,-3.998442294436073,-1.0,0.007966213739429143,-0.0010571229095440726,-0.39993094839835835,0.0,-2.841934581478903,5.951601,6.334643046697026,1.1903202,-0.020879725058948893,-0.6574054052074239,4.729577093932921,8.537151420686484,-1.3033153892852496,1.3333532865716857,-1.3488305644157534,-48.02443641844425,0.0,-0.625904276736956,0.0,-6.294325282051704,0.0
10.0,-2.443460952792061,-140.0,1.0,True,True,True,,1.8175918348861376e-14,True,True,True,1.0,-0.07904033490258083,0.0,0.005119397167801317,-0.041877310824821545,0.29331985136624233,-2.399393167619791,1.5376588891058418e-15,9.325873406851315e-16,1.0547118733938987e-16,-0.05688490772902108,0.02603367926052758,-0.07904033490258083,0.05989658223900073,-3.998580556674826,-1.0,0.012803075515178924,-0.00083978329347284,-0.3999309483983583,0.0,-3.924839847219829,5.951601000000001,5.727090102721617,1.1903201999999997,-0.01980834110114739,-0.35900972388031427,4.785545263855983,8.62203400078706,-1.3597518356502971,1.1391888149586793,-0.88286665308662,-47.3144083606238,0.0,-6.959124807276548,0.0,-0.8050337570188115,0.0
10.0,-2.2689280275926285,-130.0,1.0,True,True,True,,8.968100940422724e-16,True,True,True,1.0,-0.060118933607874375,0.0,0.00673271229387188,-0.03018917142679771,0.38575599911470193,-1.7297121097524464,-1.1102230246251566e-17,-8.881784197001253e-17,-2.220446049250313e-18,-0.05667972232300145,0.018451353004716176,-0.06011893360787438,0.07886890050303297,-3.998756991091551,-1.0,0.016670773158364044,-0.0006280276444113331,-0.3999309483983583,0.0,-4.852867455719569,5.951601,4.965168506164352,1.1903202,-0.017421068763899476,-0.17685520467702354,4.863129145596092,8.629856697155923,-1.3831689041411939,0.9492720275158909,-0.5703125135314611,-46.50541844656923,0.0,-7.67778276553633,0.0,-0.9234298744860946,0.0
10.0,-2.0943951023931953,-119.99999999999999,1.0,True,True,True,,1.184418579511341e-15,True,True,True,1.0,-0.048080471147268926,0.0,0.008051011680609831,-0.022012023913073275,0.4612889901094712,-1.261196068760142,-3.8857805861880476e-17,-1.1102230246251565e-16,-5.551115123125783e-18,-0.056579906436150934,0.01308376805806949,-0.048080471147268926,0.09435533547471897,-3.99897069769122,-1.0,0.01977385964529535,-0.0004230985385531294,-0.3999309483983583,0.0,-5.629414278838375,5.951601,4.063717839041913,1.1903202,-0.014073486044578256,-0.06763454209401942,4.944993291329661,8.610586004395849,-1.3945195667818977,0.7554685560051178,-0.35731859712804764,-45.674231395179994,0.0,-8.384730813301209,0.0,-1.001868944110014,0.0
10.0,-1.9198621771937625,-110.0,1.0,True,True,True,,8.509547196111668e-13,True,True,True,1.0,-0.040059369207302166,0.0,0.009064086383392168,-0.015636854847776844,0.5193338949103694,-0.8959257876362945,-3.717026686445024e-14,-7.482903185973555e-14,-6.4526162191214095e-15,-0.056514154699245776,0.008840635467032842,-0.040059369207302166,0.10624024628572537,-3.9992198959694414,-1.0,0.022085286458430775,-0.00023948920800526133,-0.3999309483983583,0.0,-6.242064585220234,5.951601000000001,3.040019384849712,1.1903202000000002,-0.01028772924256733,-0.00887405716825107,5.019082318166181,8.585868835237257,-1.4006403712212179,0.5541587309565587,-0.21262974469042364,-44.90997313333032,0.0,-9.014057878475873,0.0,-1.0528708597380299,0.0
10.0,-1.7453292519943295,-100.0,1.0,True,True,True,,6.961062950497062e-16,True,True,True,1.0,-0.03485876630533437,0.0,0.009787450503437276,-0.01026933612824786,0.5607796060401488,-0.58838961854982,1.9428902930940238e-17,6.661338147750939e-17,-2.220446049250313e-18,-0.056491381105061925,0.005212243585182852,-0.03485876630533437,0.11471497095546347,-3.9995016827985728,-1.0,0.023648680167261127,-9.712132758743497e-05,-0.3999309483983583,0.0,-6.672923272468437,5.951601,1.9169160947130754,1.1903202000000002,-0.006031789095310823,0.015477979096316208,5.0758794226790585,8.5649183045619,-1.404098561807578,0.3444488274993237,-0.11341824133823679,-44.3097379067034,0.0,-9.497218682901796,0.0,-1.083977325937748,0.0
10.0,-1.5707963267948966,-90.0,1.0,True,True,True,,3.597533769998862e-16,True,True,True,1.0,-0.03185156147367673,0.0,0.010172409106805079,-0.005410253684314344,0.5828361093003745,-0.30998470220631597,2.7755575615628914e-17,-2.2204460492503132e-17,-2.220446049250313e-18,-0.05646699043122421,0.0018726748909062005,-0.03185156147367673,0.1192070891132818,-3.9998116854355295,-1.0,0.02435951724206592,-1.4312682636907768e-05,-0.3999309483983583,0.0,-6.9052444548364456,5.951601,0.7216238321763461,1.1903202,-0.001323422227273902,0.018796331535375188,5.108144199337982,8.551028361972627,-1.4058219330634565,0.12723530856457518,-0.040530311274516416,-43.96335586326002,0.0,-9.772996859416732,0.0,-1.0993685939845879,0.0
10.0,-1.3962634015954636,-80.0,1.0,True,True,True,,1.3877787807814457e-16,True,True,True,1.0,-0.03082788883362467,0.0,0.010198995326796781,-0.0007318026920597067,0.5843593874991053,-0.04192920569133304,1.3877787807814457e-17,0.0,0.0,-0.05643879876382797,-0.0013982754122219415,-0.03082788883362467,0.1194863024605669,-4.000143618344599,-1.0,0.02419092248273136,-6.693144153413489e-06,-0.39993094839835835,0.0,-6.923895943490522,5.951601,-0.5154580687908238,1.1903202000000002,0.003426693398930211,0.013469767435994262,5.1112240094881365,8.54483334411539,-1.406047344144004,-0.09539026158389809,0.023526355342419418,-43.934976891545475,0.0,-9.796454617145049,0.0,-1.100711318142308,0.0
10.0,-1.2217304763960306,-70.0,1.0,True,True,True,,1.825294779373697e-13,True,True,True,1.0,-0.03186872867692428,0.0,0.009876847281140171,0.0040763701654467155,0.5659016641045939,0.23355880621314193,-4.440892098500626e-15,1.716404796070492e-14,1.7363888105137449e-15,-0.056443463897824925,-0.004818035745021154,-0.03186872867692428,0.11567433510800973,-4.000488901576281,-1.0,0.02319192573737827,-8.30332457562033e-05,-0.39993094839835835,0.0,-6.7165632364458565,5.951601,-1.7582682093934194,1.1903202000000002,0.008113420114083648,0.012750293499034004,5.083657782772773,8.54545203420632,-1.4047086661576222,-0.32041803568840144,0.09749684682652451,-44.24562389456414,0.0,-9.550473389307399,0.0,-1.0874794118325322,0.0
10.0,-1.0471975511965976,-59.99999999999999,1.0,True,True,True,,2.2887833992611187e-16,True,True,True,1.0,-0.03523167627384471,0.0,0.009168878762144915,0.0093761751050805,0.5253380559380382,0.5372152614967438,5.551115123125783e-18,-2.2204460492503132e-17,0.0,-0.05645404227195207,-0.008651161880057281,-0.03523167627384471,0.10733562977284171,-4.000836383683335,-1.0,0.021304628291677397,-0.00024263388612066894,-0.39993094839835835,0.0,-6.277508498202221,5.951601000000001,-2.9657650956156933,1.1903202000000002,0.012865920073284656,0.03140927718578812,5.028075545896135,8.549783068884999,-1.4014416228829811,-0.5446522138754812,0.20305480370442702,-44.86167175206404,0.0,-9.05648986405868,0.0,-1.0566234071925926,0.0
